metric,is_GOP
0.58,1
0.585,1
0.59,1
0.67,1
0.585,1
0.61,1
0.405,0
0.545,1
0.51,0
0.49,0
0.435,0
0.61,1
0.555,1
0.525,1
0.38,0
0.555,1
0.455,0
0.605,1
0.535,1
0.585,1
0.6,1
0.555,1
0.385,0
0.475,0
0.54,1
0.39,0
0.395,0
0.475,0
0.54,1
0.46,0
0.5,0
0.38,0
0.31,0
0.3,0
0.36,0
0.39,0
0.455,0
0.38,0
0.365,0
0.385,0
0.385,0
0.475,1
0.53,1
0.56,1
0.45,0
0.485,1
0.45,0
0.41,0
0.385,0
0.365,0
0.4,0
0.455,0
0.415,0
0.405,0
0.33,0
0.415,0
0.48,0
0.32,0
0.415,0
0.485,1
0.345,0
0.44,0
0.535,1
0.355,0
0.34,0
0.485,0
0.42,0
0.43,0
0.505,1
0.48,0
0.54,1
0.4,0
0.44,0
0.415,0
0.38,0
0.44,0
0.53,1
0.56,1
0.56,1
0.47,0
0.465,0
0.445,0
0.49,0
0.46,0
0.44,0
0.49,0
0.47,0
0.6,1
0.6,1
0.545,1
0.57,1
0.44,0
0.55,1
0.485,0
0.56,1
0.485,0
0.44,0
0.59,1
0.555,1
0.5,0
0.465,0
0.53,1
0.535,1
0.58,1
0.53,1
0.56,1
0.36,0
0.46,0
0.47,0
0.455,0
0.36,0
0.54,1
0.495,1
0.48,1
0.545,1
0.48,0
0.58,1
0.365,0
0.32,0
0.495,0
0.51,0
0.575,1
0.65,1
0.565,1
0.56,1
0.545,1
0.385,0
0.64,1
0.43,0
0.425,0
0.61,1
0.575,1
0.375,0
0.36,0
0.47,0
0.335,0
0.39,0
0.485,0
0.315,0
0.455,0
0.395,0
0.43,0
0.445,0
0.545,1
0.52,1
0.51,0
0.63,1
0.55,1
0.51,0
0.575,1
0.48,0
0.565,1
0.595,1
0.59,1
0.525,1
0.61,1
0.445,0
0.595,1
0.575,1
0.52,1
0.52,1
0.515,0
0.58,1
0.62,1
0.55,1
0.495,0
0.575,1
0.63,1
0.61,1
0.46,0
0.595,1
0.665,1
0.54,1
0.61,1
0.375,0
0.605,1
0.57,1
0.585,1
0.59,1
0.46,0
0.53,0
0.57,1
0.435,0
0.42,0
0.355,0
0.42,0
0.46,0
0.365,0
0.415,0
0.45,0
0.45,0
0.44,0
0.435,0
0.385,0
0.45,0
0.325,0
0.43,0
0.47,0
0.56,1
0.545,1
0.525,1
0.57,1
0.495,0
0.525,1
0.55,1
0.52,0
0.48,0
0.59,1
0.51,0
0.435,0
0.355,0
0.355,0
0.54,1
0.5,0
0.47,0
0.42,0
0.355,0
0.57,1
0.585,1
0.55,1
0.59,1
0.435,0
0.565,1
0.61,1
0.355,0
0.52,1
0.605,1
0.6,1
0.465,0
0.59,1
0.62,1
0.65,1
0.555,1
0.555,1
0.505,1
0.65,1
0.44,0
0.54,1
0.51,0
0.495,0
0.505,0
0.495,0
0.445,0
0.52,1
0.515,0
0.54,1
0.505,0
0.47,0
0.495,0
0.38,0
0.435,0
0.33,0
0.5,0
0.42,0
0.455,0
0.54,1
0.465,0
0.53,1
0.525,1
0.485,0
0.48,0
0.33,0
0.435,0
0.33,0
0.335,0
0.34,0
0.365,0
0.535,1
0.33,0
0.3,0
0.375,0
0.305,0
0.375,0
0.455,0
0.505,0
0.515,0
0.465,0
0.54,1
0.545,1
0.545,1
0.49,1
0.46,0
0.45,0
0.56,1
0.485,0
0.44,0
0.57,1
0.42,0
0.6,1
0.45,0
0.555,1
0.53,1
0.53,1
0.605,1
0.545,1
0.405,0
0.6,1
0.6,1
0.52,1
0.545,1
0.405,0
0.6,1
0.575,1
0.62,1
0.59,1
0.595,1
0.455,0
0.525,1
0.35,0
0.53,1
0.495,0
0.525,1
0.545,1
0.55,1
0.575,1
0.645,1
0.645,1
0.6,1
0.535,1
0.44,0
0.555,1
0.38,0
0.505,0
0.49,0
0.5,1
0.395,0
0.295,0
0.455,0
0.435,0
0.475,0
0.5,0
0.525,0
0.59,1
0.525,1
0.57,1
0.6,1
0.625,1
0.58,1
0.62,1
0.56,1
0.51,0
0.435,0
0.44,0
0.48,0
0.535,1
0.545,1
0.605,1
0.57,1
0.555,1
0.415,0
0.555,1
0.58,1
0.65,1
0.59,1
0.595,1
0.61,1
0.455,0
0.63,1
0.605,1
0.595,1
0.36,0
0.625,1
0.52,1
0.53,1
0.64,1
0.575,1
0.53,1
0.495,0
0.625,1
0.365,0
0.525,1
0.66,1
0.575,1
0.665,1
0.56,1
0.485,0
0.41,0
0.545,1
0.37,0
0.63,1
0.435,0
0.525,1
0.52,1
0.505,1
0.51,1
0.54,1
0.56,1
0.57,1
0.475,0
0.405,0
0.355,0
0.53,1
0.495,0
0.385,0
0.475,0
0.415,0
0.625,1
0.6,1
0.55,1
0.585,1
0.53,1
0.425,0
0.53,1
0.505,0
0.42,0
0.45,0
0.535,1
0.57,1
0.515,0
0.365,0
0.615,1
0.47,0
0.405,0
0.46,0
0.445,0
0.525,1
0.565,1
0.54,1
0.47,0
0.32,0
0.495,0
0.385,0
0.475,0
0.61,1
0.6,1
0.635,1
0.535,1
0.41,0
0.52,0
0.375,0
0.555,1
0.55,1
0.56,1
0.55,1
0.63,1
