ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",771925,0,0.4802,0.5198,0,603769,0.6956,0.3044,0.0568,0.1954,0.0343,0.0196,0.0019,
"2",771925,0,0.5779,0.4221,0,601414,0.5596,0.4404,0.0896,0.2752,0.0587,0.0228,0.0016,
"3",771926,0,0.6118,0.3882,0,597091,0.6037,0.3963,0.0871,0.1843,0.1114,0.0161,0.0014,
"4",771926,0,0.8532,0.1468,0,598156,0.201,0.799,0.1783,0.5734,0.0487,0.0232,0.0016,
"5",771925,0,0.7085,0.2915,0,599707,0.3828,0.6172,0.1078,0.4411,0.0605,0.0236,0.0021,
"6",771925,0,0.5968,0.4032,0,602679,0.5922,0.4078,0.1199,0.1444,0.1305,0.0179,0.0016,
"7",771926,0,0.7851,0.2149,0,613219,0.3471,0.6529,0.0404,0.5264,0.0805,0.0139,0.0013,
"8",771925,0,0.6578,0.3422,0,599167,0.6089,0.3911,0.1398,0.1371,0.1011,0.0186,0.0016,
"Summary",771923,0,0.6561,0.3439,0,601900,0.4987,0.5013,0.1022,0.3101,0.0782,0.0194,0.0016,
